,university 1,university 2,cosine distance,jaccard distance
249,tinbergen, Vrije Universiteit Amsterdam ,0.843330109639872,0.9312977099236641
250,artez, Vrije Universiteit Amsterdam ,0.8248330022326272,0.91005291005291
251,Viaa, Vrije Universiteit Amsterdam ,0.8954697487491137,0.9602543720190779
252,marnix, Vrije Universiteit Amsterdam ,0.7688066746618726,0.8731155778894473
253,hku, Vrije Universiteit Amsterdam ,0.8114817991526018,0.8990147783251231
254, Amsterdam University College, Vrije Universiteit Amsterdam ,0.7342452052206929,0.869431643625192
255,avans, Vrije Universiteit Amsterdam ,0.7125229050430801,0.8394777265745008
256, UVH , Vrije Universiteit Amsterdam ,0.6572662495427335,0.8158551810237203
257,vlhuas , Vrije Universiteit Amsterdam ,0.8979083827104914,0.9556868537666174
258,Windesheim, Vrije Universiteit Amsterdam ,0.8379791904682273,0.9283536585365854
259,AHK , Vrije Universiteit Amsterdam ,0.746459081532407,0.8552338530066815
260, TIAS , Vrije Universiteit Amsterdam ,0.7406301342238708,0.8565891472868217
261,BUAS , Vrije Universiteit Amsterdam ,0.7698525550805291,0.8720095693779905
262,TU Delft, Vrije Universiteit Amsterdam ,0.8810364166968137,0.96
263, HZ , Vrije Universiteit Amsterdam ,0.7713659309853861,0.8709349593495935
264, tio , Vrije Universiteit Amsterdam ,0.8249174266352794,0.9134078212290503
265, hogeschool Leiden , Vrije Universiteit Amsterdam ,0.8910101478173869,0.9752650176678446
266, rotterdam uas , Vrije Universiteit Amsterdam ,0.7242630242271955,0.8411654135338346
267,Fontys, Vrije Universiteit Amsterdam ,0.791813729219424,0.889763779527559
268,Aeres, Vrije Universiteit Amsterdam ,0.790900498543964,0.8924137931034483
269,Saxion, Vrije Universiteit Amsterdam ,0.6881982769823494,0.8155230596175478
270,NHL Stendedn, Vrije Universiteit Amsterdam ,0.6855001523477124,0.8439897698209718
271, Universiteit Utrecht , Vrije Universiteit Amsterdam ,0.8592021061207906,0.9556313993174061
272,The Hague, Vrije Universiteit Amsterdam ,0.8700754727731533,0.9398280802292264
273, HAS, Vrije Universiteit Amsterdam ,0.806060606060606,0.9064327485380117
274, Hotelschool The Hague, Vrije Universiteit Amsterdam ,0.7671358650861975,0.8755020080321285
275, Design academy Eindhoven , Vrije Universiteit Amsterdam ,0.7802440377900312,0.8792682926829268
276, Royal academy of art The Hague, Vrije Universiteit Amsterdam ,0.8087670933912665,0.9094955489614244
277,Wittenborg, Vrije Universiteit Amsterdam ,0.8236020817962828,0.9207317073170732
278, Royal Conservatoire The Hague, Vrije Universiteit Amsterdam ,0.8634462213599055,0.9632867132867133
279,codarts, Vrije Universiteit Amsterdam ,0.8670459941304224,0.9453978159126365
280,Webster, Vrije Universiteit Amsterdam ,0.8238568963544788,0.9267515923566879
281,amsterdamuas, Vrije Universiteit Amsterdam ,0.7560401649356014,0.8613861386138614
282, EUR , TU Eindhoven ,0.8890912963073299,0.9736346516007532
283, Leiden University , TU Eindhoven ,0.897003122439642,0.9844559585492227
284, WUR , TU Eindhoven ,0.9101973489866125,0.9560439560439561
285, rug , TU Eindhoven ,0.9088511197817309,0.985837922895358
286, Maastricht University , TU Eindhoven ,0.8813134756803529,0.96
287, Vrije Universiteit Amsterdam , TU Eindhoven ,0.8698072712185277,0.9698581560283688
288, TU Eindhoven , TU Eindhoven ,0.0,0.0
289, University of Twente , TU Eindhoven ,0.8934394395699172,0.9796407185628743
290, Tilburg University , TU Eindhoven ,0.8876761700049888,0.9796791443850268
291, Open University , TU Eindhoven ,0.8542498176434656,0.9379310344827586
292, HAN , TU Eindhoven ,0.8983998983998476,0.948051948051948
293,ZUYD, TU Eindhoven ,0.8998933206595242,0.9768683274021353
294,AUAS , TU Eindhoven ,0.9037214521868833,0.9728997289972899
295, international HU , TU Eindhoven ,0.938893106083011,0.9821428571428571
296,tinbergen, TU Eindhoven ,0.912011730987188,0.9657142857142857
297,artez, TU Eindhoven ,0.945748234483193,0.9833333333333333
298,Viaa, TU Eindhoven ,0.9295530046323653,0.9694656488549618
299,marnix, TU Eindhoven ,0.9325079754676419,0.9811320754716981
300,hku, TU Eindhoven ,0.9128469799018528,0.9754098360655737
301, Amsterdam University College, TU Eindhoven ,0.8287991039990252,0.9362745098039216
302,avans, TU Eindhoven ,0.9246816475371589,0.9867211440245148
303, UVH , TU Eindhoven ,0.9119138030002706,0.986764705882353
304,vlhuas , TU Eindhoven ,0.9856659364071585,0.9946524064171123
305,Windesheim, TU Eindhoven ,0.9419190877507957,0.9777777777777777
306,AHK , TU Eindhoven ,0.9178504469765557,0.9799599198396793
307, TIAS , TU Eindhoven ,0.9350407545106758,0.9883597883597883
308,BUAS , TU Eindhoven ,0.9003412207527738,0.973365617433414
309,TU Delft, TU Eindhoven ,0.9582426154670338,0.9805825242718447
310, HZ , TU Eindhoven ,0.916587640254092,0.9810671256454389
311, tio , TU Eindhoven ,0.9048427863860387,0.9681274900398407
312, hogeschool Leiden , TU Eindhoven ,0.9344174164216047,0.9661016949152542
313, rotterdam uas , TU Eindhoven ,0.9175311293449495,0.9829059829059829
314,Fontys, TU Eindhoven ,0.9164852309340676,0.9749216300940439
315,Aeres, TU Eindhoven ,0.932249868439938,0.9784172661870504
316,Saxion, TU Eindhoven ,0.9039015447468953,0.9770114942528736
317,NHL Stendedn, TU Eindhoven ,0.9131337459904929,0.9883788495061011
318, Universiteit Utrecht , TU Eindhoven ,0.931570311498076,0.9666666666666667
319,The Hague, TU Eindhoven ,0.9478802475942957,0.9815668202764977
320, HAS, TU Eindhoven ,0.9234160418932517,0.9730941704035875
321, Hotelschool The Hague, TU Eindhoven ,0.9156257080942661,0.9744408945686901
322, Design academy Eindhoven , TU Eindhoven ,0.9626004857697857,0.98989898989899
323, Royal academy of art The Hague, TU Eindhoven ,0.9075660890210383,0.9665071770334929
324,Wittenborg, TU Eindhoven ,0.9285568468480085,0.9728260869565217
325, Royal Conservatoire The Hague, TU Eindhoven ,0.9726104482167611,0.9863013698630136
326,codarts, TU Eindhoven ,0.9359979519016908,0.9738562091503268
327,Webster, TU Eindhoven ,0.935483870967742,0.9735099337748344
328,amsterdamuas, TU Eindhoven ,0.9021345201565178,0.9761904761904762
329, EUR , University of Twente ,0.6767294391611656,0.8133333333333334
330, Leiden University , University of Twente ,0.651185027793878,0.7962138084632517
331, WUR , University of Twente ,0.825498796810056,0.9526627218934911
332, rug , University of Twente ,0.6802051527182031,0.814709236031927
333, Maastricht University , University of Twente ,0.7739852638953723,0.8970588235294118
334, Vrije Universiteit Amsterdam , University of Twente ,0.6279621847498801,0.7769848349687779
335, TU Eindhoven , University of Twente ,0.8934394395699172,0.9796407185628743
336, University of Twente , University of Twente ,0.0,0.0
337, Tilburg University , University of Twente ,0.626654490681853,0.7709654686398872
338, Open University , University of Twente ,0.8048953791996628,0.9297052154195011
339, HAN , University of Twente ,0.8618020978070805,0.966785290628707
340,ZUYD, University of Twente ,0.7471193051243399,0.8586956521739131
341,AUAS , University of Twente ,0.7006641163452545,0.8414271555996036
342, international HU , University of Twente ,0.7941828471090048,0.8988326848249028
343,tinbergen, University of Twente ,0.8660691423739781,0.9491341991341992
344,artez, University of Twente ,0.7997019388964873,0.905
345,Viaa, University of Twente ,0.8973324953602757,0.9664804469273743
346,marnix, University of Twente ,0.7620600286259162,0.878001921229587
347,hku, University of Twente ,0.8024220389932623,0.9009433962264151
348, Amsterdam University College, University of Twente ,0.7492170394475095,0.8921892189218922
349,avans, University of Twente ,0.7016592332559022,0.8253131179960448
350, UVH , University of Twente ,0.6643247438713962,0.8055096418732782
351,vlhuas , University of Twente ,0.899727672455406,0.9617834394904459
352,Windesheim, University of Twente ,0.8419950353616765,0.9389978213507625
353,AHK , University of Twente ,0.7589587224838737,0.8684668989547039
354, TIAS , University of Twente ,0.7234494047117458,0.8398671096345515
355,BUAS , University of Twente ,0.7746580148574241,0.8821362799263351
356,TU Delft, University of Twente ,0.8945161652903106,0.9700805523590333
357, HZ , University of Twente ,0.7671886882841522,0.8709150326797386
358, tio , University of Twente ,0.8243393076213843,0.9218910585817061
359, hogeschool Leiden , University of Twente ,0.9044217547010752,0.9820574162679426
360, rotterdam uas , University of Twente ,0.7315804604580249,0.8457405986185725
361,Fontys, University of Twente ,0.7809181894491067,0.8929633300297324
362,Aeres, University of Twente ,0.8156906162999185,0.9151515151515152
363,Saxion, University of Twente ,0.6747699132190126,0.8125560538116592
364,NHL Stendedn, University of Twente ,0.6573455314456675,0.8089411764705883
365, Universiteit Utrecht , University of Twente ,0.8714622851925082,0.9660421545667447
366,The Hague, University of Twente ,0.8404884370522935,0.9335443037974683
367, HAS, University of Twente ,0.809020588171605,0.9182590233545648
368, Hotelschool The Hague, University of Twente ,0.797108143011298,0.9021739130434783
369, Design academy Eindhoven , University of Twente ,0.7728957553644868,0.8826291079812206
370, Royal academy of art The Hague, University of Twente ,0.8357813297174919,0.9320594479830149
371,Wittenborg, University of Twente ,0.833409156045773,0.9347116430903155
372, Royal Conservatoire The Hague, University of Twente ,0.8616218431595137,0.9689737470167065
373,codarts, University of Twente ,0.8631969357127135,0.9512735326688815
374,Webster, University of Twente ,0.8088178180519103,0.9309954751131222
375,amsterdamuas, University of Twente ,0.7686282092411137,0.8741379310344828
376, EUR , Tilburg University ,0.6994699279732797,0.8317073170731707
377, Leiden University , Tilburg University ,0.6503493323222532,0.7925333333333333
378, WUR , Tilburg University ,0.8395374204475706,0.9588607594936709
379, rug , Tilburg University ,0.7011765327050898,0.8267885960193653
380, Maastricht University , Tilburg University ,0.7433369116935491,0.8858800773694391
381, Vrije Universiteit Amsterdam , Tilburg University ,0.6392960252072329,0.7886513157894737
382, TU Eindhoven , Tilburg University ,0.8876761700049888,0.9796791443850268
383, University of Twente , Tilburg University ,0.626654490681853,0.7709654686398872
384, Tilburg University , Tilburg University ,0.0,0.0
385, Open University , Tilburg University ,0.7922482772554196,0.9282786885245902
386, HAN , Tilburg University ,0.8277671962771808,0.9604700854700855
387,ZUYD, Tilburg University ,0.7121078208329222,0.838479809976247
388,AUAS , Tilburg University ,0.6894566774127213,0.8392694063926941
389, international HU , Tilburg University ,0.7237637495669563,0.8637200736648251
390,tinbergen, Tilburg University ,0.8199354074403298,0.9333996023856859
391,artez, Tilburg University ,0.7753003936610825,0.8957564575645757
392,Viaa, Tilburg University ,0.9031713817349974,0.9699097291875627
393,marnix, Tilburg University ,0.7543882088011222,0.8770999115826702
394,hku, Tilburg University ,0.7604182699436273,0.8807420494699647
395, Amsterdam University College, Tilburg University ,0.763479519250839,0.9030662710187933
396,avans, Tilburg University ,0.6687224164078878,0.8015267175572519
397, UVH , Tilburg University ,0.6583036597476639,0.7983059820010587
398,vlhuas , Tilburg University ,0.8791609910014919,0.9555125725338491
399,Windesheim, Tilburg University ,0.8163873812074077,0.9314796425024826
400,AHK , Tilburg University ,0.6958858899791703,0.8315262718932444
401, TIAS , Tilburg University ,0.6991340229368914,0.8229299363057325
402,BUAS , Tilburg University ,0.749285286625357,0.8703862660944206
403,TU Delft, Tilburg University ,0.8584255074360307,0.9614583333333333
404, HZ , Tilburg University ,0.7442971657335873,0.8584615384615385
405, tio , Tilburg University ,0.7711130536911978,0.8996175908221797
406, hogeschool Leiden , Tilburg University ,0.8918289545152828,0.9807486631016042
407, rotterdam uas , Tilburg University ,0.6725370683195263,0.8068350668647846
408,Fontys, Tilburg University ,0.7646802353328619,0.8877737226277372
409,Aeres, Tilburg University ,0.7785770326426742,0.8999064546304958
410,Saxion, Tilburg University ,0.6800577088193978,0.8195364238410596
411,NHL Stendedn, Tilburg University ,0.6298702045746716,0.7855166051660516
412, Universiteit Utrecht , Tilburg University ,0.8369698561445065,0.9587737843551797
413,The Hague, Tilburg University ,0.8614998184860061,0.9450236966824644
